Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
12,190,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish,800-1000,500000,12,5384,"Allegorical, Fiction, Humor, Literary Fiction, Picaresque, Satire","Chivalry, Friendship, Heroism, Honor, Illusion, Knighthood, Madness, Parody, Social Critique, imagination, reality","La Mancha, Spain"
13,116,War and Peace,Leo Tolstoy,1869,Russian,Russian,1225-1500,587287,13,5324,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, epic, military fiction, philosophical","Despair, Fate, Identity, Love, Peace, Society, War, morality","Moscow, Russia, Saint Petersburg"
14,102,Pride and Prejudice,Jane Austen,1813,British,English,432,122189,14,5289,"Drama, Fiction, Literary Fiction, Regency, Romance, Victorian","Courtship, Family, Interpersonal relations, Love, Marriage, Prejudice, Pride, Reputation, Social status, Upper class, Wealth, class, relationships","England, Hertfordshire"
15,108,Wuthering Heights,Emily Brontë,1847,British,English,300-400,107945,15,5189,"Fiction, Gothic, Literary Fiction, Tragedy, Victorian","Death & Grief, Love, Madness, Revenge, Social Class, isolation","England, Fictional Location"
16,329,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian,430-600,211591,16,4994,"Crime, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Alienation, Family, Guilt, Justice, Madness, Moral Dilemma, Poverty, Redemption, isolation","Russia, Saint Petersburg"
17,85,The Sound and the Fury,William Faulkner,1929,American,English,320,97000,17,4916,"Allegorical, Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction, Tragedy","Death, Death & Grief, Family, Guilt, History, Loss, Memory, Mental illness, Southern Gothic, Time, class, race, stream of consciousness, tradition","Jefferson, Mississippi, United States"
18,322,The Stranger,Albert Camus,1942,French,French,100-200,35000,18,4905,"Absurdist, Existentialist, Fiction, Social & Cultural Fiction, philosophical","Alienation, Death & Grief, Existentialism, Identity, Indifference, Justice, Society","Algeria, Algiers"
19,209,Madame Bovary,Gustave Flaubert,1857,French,French,300-450,117000,19,4713,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Adultery, Boredom, Desire, Disillusionment, Illusion, Marriage, Materialism, Social Class","France, Normandy, Paris"
20,215,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian,700-800,364000,20,4631,"Drama, Family & Relationships, Fiction, Literary Fiction, Psychological, philosophical","Existentialism, Faith, Family, Free will, Guilt, Justice, Redemption, morality",Russia
21,408,The Odyssey,Homer,-740,Greek,Ancient greek,300-500,120000,21,4504,"Adventure, Fiction, Mythological, Sailors & The Sea, epic","Deception, Family, Fate, Heroism, Hospitality, Identity, Journey, Loyalty, Revenge","Greece, Ithaca, Troy"
22,258,The Trial,Franz Kafka,1925,Czech,German,200-300,80000,22,4476,"Absurdist, Allegorical, Fiction, Literary Fiction, Psychological, philosophical","Alienation, Bureaucracy, Existentialism, Guilt, Justice, Law, Paranoia, Power, oppression",Fictional Location
23,92,To the Lighthouse,Virginia Woolf,1927,British,English,200-300,70000,23,4419,"Allegorical, Fiction, Literary Fiction, Modernist, Psychological, philosophical","Death, Death & Grief, Family, Marriage, Memory, Nature, Time, childhood, gender, stream of consciousness","England, Isle of Skye, Scotland, United Kingdom"
24,135,Heart of Darkness,Joseph Conrad,1899,British,English,70-200,38000,24,4393,"Allegorical, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Alienation, Darkness, Identity, Imperialism, Madness, Power, colonialism, morality","Africa, Central Africa, Congo, Congo River"
25,36,The Grapes of Wrath,John Steinbeck,1939,American,English,464,169481,25,4375,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Community, Despair, Exploitation, Family, Family dynamics, Farm life, History, Hope, Injustice, Labor, Migration, Poverty, Survival, realism","California, Oklahoma, United States"
26,1156,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek",1200-1600,783137,26,4368,"Mythological, Religion & Spirituality","Christianity, Covenant, Creation, Faith, Family, History, Hope, Law, Marriage, Middle East History, Prophecy, Redemption, Sacrifice, Salvation, Sin, Wisdom","Babylon, Egypt, Israel, Palestine"
27,211,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English,92-202,26429,27,4289,"Absurdist, Children's books, Fantasy, Fiction, Folklore & Fairy Tales, Speculative Fiction, Surreal","Animals, Childhood and youth, Dreams, Friendship, Juvenile, Nonsense, Transformation, childhood, curiosity, logic","England, Fictional Location"
28,326,The Divine Comedy,Dante Alighieri,1308,Italian,Italian,300-500,100000,28,4245,"Fiction, Mythological, Poetry, Religion & Spirituality, epic, philosophical","Afterlife, Classical Studies, Divine Retribution, Faith, Justice, Redemption, Salvation, Sin, Virtue, human nature, morality",Fictional Location
29,466,The Magic Mountain,Thomas Mann,1924,German,German,700-1000,264000,29,4234,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Social & Cultural Fiction, philosophical","Civilization, Illness","Davos, Germany, Switzerland"
30,410,Middlemarch,George Eliot,1871,British,English,700-900,310000,30,4190,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian, philosophical","Ambition, Education, Family, Interpersonal relations, Love, Marriage, Medicine, Politics, Reform, Social Class, morality","England, Fictional Location, Money"
31,217,Adventures of Huckleberry Finn,Mark Twain,1884,American,English,200-400,109571,31,4117,"Adventure, Banned books, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction","Freedom, Identity, Racism, Society, Southern Culture, childhood, morality","Mississippi River, Missouri, United States"
32,59,Mrs. Dalloway,Virginia Woolf,1925,British,English,150-200,64000,32,4069,"Drama, Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction","Death, Friendship, Love, Marriage, Memory, Mental illness, Society, Time, War, Women's Studies, class","England, London"
33,107,Jane Eyre,Charlotte Brontë,1847,British,English,300-500,183858,33,4041,"Coming of age, Fiction, Gothic, Literary Fiction, Romance, Victorian","Education, Family, Family dynamics, Love, Mental Health, Women's Studies, class, gender, orphans","Fictional Location, Independence"
34,18,Catch-22,Joseph Heller,1961,American,English,450-550,174269,34,4035,"Absurdist, Dark Humor, Fiction, Literary Fiction, Postmodern, Satire","Bureaucracy, Death, Friendship, Heroism, Insanity, Military, Psychology & Mental Health, Survival, War, World War II, fear","Italy, Pianosa, United States"
35,112,Great Expectations,Charles Dickens,1860,British,English,500-600,186000,35,3918,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Ambition, Growth, Identity, Injustice, Love, Redemption, Social Class, Wealth","England, Great Britain, London, United States"
36,1409,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian,250-500,134000,36,3635,"Allegorical, Dark, Fiction, Literary Fiction, Magical Realism, Postmodern, philosophical","Death, Love, Madness, Magic, Philosophy, Politics, Power, Satan","Moscow, Russia"
37,47,Invisible Man,Ralph Ellison,1952,American,English,200-600,95000,37,3594,"Allegorical, Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical","African American History, Alienation, History, Identity, Power, Racism, Self-discovery, Social Injustice, invisibility","New York, United States"
38,407,The Iliad,Homer,-750,Greek,Ancient greek,300-700,155000,38,3559,"Fiction, Historical fiction, Mythological, Tragedy, epic","Divine Intervention, European History, Fate, Friendship, Heroism, History, Honor, Mortality, Rage, War","Greece, Roman, Troy"
39,199,Frankenstein,Mary Shelley,1818,British,English,280-320,78000,39,3367,"Fiction, Gothic, Horror, Speculative Fiction, philosophical","Ambition, Creation, Family, Identity, Nature, Responsibility, Revenge, Science, isolation","Arctic Ocean, Fictional Location, Geneva, Germany, Ingolstadt, Switzerland"
40,88,The Sun Also Rises,Ernest Hemingway,1926,American,English,200-300,68000,40,3351,"Allegorical, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction","Alcohol, Bullfighting, Disillusionment, Expatriates, Friendship, History, Love, Post-war trauma, War, World War I, masculinity, relationships","France, Pamplona, Paris, Spain, United States"
41,950,Les Misérables,Victor Hugo,1862,French,French,1200-1500,530982,41,3345,"Allegorical, Drama, Fiction, Good and evil, Historical fiction, Literary Fiction, Victorian, philosophical","Forgiveness, French Revolution, Injustice, Justice, Love, Poverty, Redemption, Revolution, Sacrifice, Social Inequality, morality","France, Paris"
42,66,On the Road,Jack Kerouac,1957,American,English,310,86921,42,3125,"Allegorical, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Travel","Beat Generation, Counterculture, Freedom, Friendship, History, Jazz, Self-discovery","Chicago, Denver, Los Angeles, New York, San Francisco, United States"
43,444,"Absalom, Absalom!",William Faulkner,1936,American,English,300-400,120000,43,3099,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Betrayal, Family, Guilt, Legacy, Obsession, Racism, Revenge, Slavery, Southern Gothic","Mississippi, United States"
44,56,Midnight's Children,Salman Rushdie,1981,Indian,English,450-550,208000,44,3062,"Allegorical, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Asian History, Destiny, Family, History, Magic, Memory, Nostalgia, Partition, Politics, Power, Revolution, conflict","Independence, India, Pakistan"
45,90,Things Fall Apart,Chinua Achebe,1958,Nigerian,English,200-250,60000,45,3049,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Community, Family, Indigenous, Juvenile, Power, Race relations, change, colonialism, conflict, masculinity, tradition","Africa, Igbo, Nigeria, Umuofia, West Africa"
46,2027,The Little Prince,Antoine de Saint-Exupéry,1943,French,French,93-96,16000,46,3042,"Allegorical, Children's books, Fiction, Literary Fiction, Magical Realism","Exploration, Friendship, Innocence, Philosophy, Wisdom, childhood, human nature, imagination, loneliness, relationships",Fictional Location
47,10,Beloved,Toni Morrison,1987,American,English,275-350,90000,47,3033,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Psychological, Social & Cultural Fiction","African American, Community, Family, Family dynamics, Freedom, Ghosts, Guilt, Memory, Motherhood, Race relations, Slavery, Trauma, Women's Studies","Cincinnati, Ohio, United States"
48,914,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French,400-600,158000,48,2985,"Allegorical, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction, philosophical","Despair, Existentialism, Humanity, Medicine, Poverty, Suffering, War, World War I, colonialism","France, Paris"
49,485,The Red and the Black,Stendhal,1830,French,French,300-500,217000,49,2946,"Fiction, Historical fiction, Literary Fiction, Political, Psychological, philosophical","Adultery, Ambition, Betrayal, Hypocrisy, Love, Politics, Power, Society, class","France, Paris, Verrières"
50,321,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish,174,,50,2785,"Fiction, Literary Fiction, Postmodern, Short Story Collection, Surreal, metafiction, philosophical","Dreams, Identity, Infinity, Knowledge, Labyrinths, Paradox, Time, reality","Argentina, Buenos Aires, London, United States"
51,489,One Thousand and One Nights,Unknown,800,Multiple,Arabic,800-1000,700000,51,2773,"Adventure, Fantasy, Fiction, Folklore & Fairy Tales, Mythological, Speculative Fiction, epic","Betrayal, Cunning, Fate, Justice, Love, Storytelling, Wisdom","Arabia, Middle East"
52,205,David Copperfield,Charles Dickens,1849,British,English,600-900,358000,52,2773,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Ambition, Betrayal, Education, Family, Friendship, Identity, Marriage, Poverty, Resilience, Social Class, orphans","England, Great Britain, London"
53,126,Brave New World,Aldous Huxley,1932,British,English,200-300,64000,53,2753,"Dystopian, Fiction, Science fiction, Social & Cultural Fiction, Speculative Fiction, philosophical","Conformity, Control, Dystopia, Freedom, Happiness, Identity, Technology, consumerism","Fictional Location, Utopia"
54,4,Animal Farm,George Orwell,1945,British,English,50-150,29500,54,2718,"Allegorical, Fiction, Literary Fiction, Political, Satire","Betrayal, Class Struggle, Equality, Political Ideologies, Power, Propaganda, Revolution, corruption, oppression, political satire",Fictional Location
55,139,The Old Man and the Sea,Ernest Hemingway,1952,American,English,120-140,27000,55,2692,"Fiction, Literary Fiction, Sailors & The Sea, Social & Cultural Fiction, philosophical","Defeat, History, Hope, Nature, Perseverance, Pride, Resilience, Struggle, isolation","Caribbean Sea, Cuba"
56,16051,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English,500-600,220000,56,2661,"Experimental, Fiction, Literary Fiction, Picaresque, Postmodern, Satire, philosophical","Birth, Death, Life, Medicine, Opinions, Philosophy, War, writing",Fictional Location
57,818,The Diary of a Young Girl,Anne Frank,1947,Dutch,Dutch,220-340,70000,57,2570,"Banned books, Diaries & Journals, Memoir, Nonfiction","Adolescence, European History, History, Hope, Human rights, Jewish, Persecution, Survival, War, World War II, fear, isolation, writing","Amsterdam, Netherlands"
58,113,Little Women,Louisa May Alcott,1868,American,English,300-500,189000,58,2561,"Coming of age, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Victorian","Family, Friendship, History, Love, Poverty, Sacrifice, Sisterhood, Women, gender roles","Concord, Independence, Massachusetts, New England, United States"
59,481,Hamlet,William Shakespeare,1600,British,English,100-200,30000,59,2534,"Drama, Fiction, Literary Fiction, Tragedy, philosophical","Betrayal, Death & Grief, Family, Identity, Madness, Mortality, Power, Revenge, corruption","Denmark, Elsinore, Great Britain, Russia"
60,89,Their Eyes Were Watching God,Zora Neale Hurston,1937,American,English,200-300,59000,60,2523,"Coming of age, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","African American, African American History, Community, Freedom, History, Love, Marriage, Psychology & Mental Health, Self-discovery, gender, race, relationships","Eatonville, Florida, Independence, Southern US, United States"
61,110,Rebecca,Daphne du Maurier,1938,British,English,300-400,115500,61,2480,"Fiction, Gothic, Literary Fiction, Mystery, Psychological","Death, Deception, Guilt, Jealousy, Love, class, secrets","Cornwall, England, Great Britain"
62,35,Gone With the Wind,Margaret Mitchell,1936,American,English,959-1037,418053,62,2475,"Fiction, Historical fiction, Literary Fiction, Romance, Sagas","Civil War, Family, History, Identity, Love, Marriage, Reconstruction, Resilience, Slavery, Social Class, Survival, War","Georgia, United States"
63,193,Gulliver's Travels,Jonathan Swift,1726,British,English,300-400,107349,63,2471,"Adventure, Allegorical, Fiction, Literary Fiction, Picaresque, Satire","Culture, Power, Society, human nature, morality","England, Fictional Location, Utopia"
64,82,Slaughterhouse-Five,Kurt Vonnegut,1969,American,English,275-320,49000,64,2462,"Dark, Fiction, Literary Fiction, Postmodern, Satire, Science fiction, Social & Cultural Fiction, Speculative Fiction","Death & Grief, Fate, Free will, Survival, Time, Trauma, War","Dresden, England, Fictional Location, Germany"
65,70,A Passage to India,E. M. Forster,1924,British,English,200-400,120000,65,2432,"Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction, philosophical","Cultural Conflict, Friendship, Justice, Novela, Race relations, Racism, Social Class, colonialism","Chandrapore, England, India"
66,51,Lord of the Flies,William Golding,1954,British,English,224,59960,66,2427,"Allegorical, Dystopian, Fiction, Good and evil, Literary Fiction, Psychological, Speculative Fiction","Civilization, Innocence, Leadership, Power, Savagery, Survival, fear, human nature","England, Fictional Location"
67,943,Candide,Voltaire,1759,French,French,100-200,30000,67,2424,"Allegorical, Fiction, Picaresque, Satire, philosophical","Hypocrisy, Optimism, Philosophy, Suffering, corruption","France, Germany, Great Britain, Italy, Lisbon, Portugal, South America, Suriname, Venice, Westphalia"
68,536,Dune,Frank Herbert,1965,American,English,400-500,188000,68,2415,"Fantasy, Fiction, Good and evil, Literary Fiction, Political, Science fiction, Speculative Fiction","Betrayal, Family, Identity, Leadership, Nature & Environment, Power, Prophecy, Revolution, Survival","Fictional Location, United States"
69,491,The Aeneid,Virgil,19,Roman,Latin,395,128000,69,2403,"Fiction, Historical fiction, Mythological, Poetry, epic","Classical Studies, Destiny, Divine Intervention, Exile, Family, Heroism, History, Leadership, Piety, Suffering, War","Carthage, Fictional Location, Greece, Italy, Roman, Rome, Troy"
70,1368,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English,300-400,94000,70,2390,"Dystopian, Fiction, Literary Fiction, Political, Social & Cultural Fiction, Speculative Fiction","Freedom, Identity, Political Ideologies, Power Dynamics, Resistance, Survival, Women's Studies, oppression","Canada, Fictional Location, New England"
71,492,Leaves of Grass,Walt Whitman,1855,American,English,95-438,154835,71,2382,"Fiction, Literary Fiction, Poetry, Religion & Spirituality, Social & Cultural Fiction, philosophical","Freedom, Humanity, Identity, Individualism, Mortality, Nature, Political Ideologies, Transcendentalism, Unity","Brooklyn, New York, United States"
72,234,The Good Soldier,Ford Madox Ford,1915,British,English,200-300,72000,72,2344,"Allegorical, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Adultery, Betrayal, Death, Deception, Friendship, Infidelity, Love, Marriage, Mental illness, Military","England, Germany"
73,951,The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italian,Italian,200-300,72000,73,2318,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Death, Decline, Family, Marriage, Politics, Power, aristocracy, change, tradition","Italy, Sicily"
74,167,Orlando,Virginia Woolf,1928,British,English,200-300,70000,74,2309,"Allegorical, Fiction, Literary Fiction, Magical Realism, Modernist, Postmodern","History, Immortality, Lgbtq+, Love, Nobility, Society, Time, Time travel, Transformation, Women's Studies, gender","England, London"
75,216,The Portrait of a Lady,Henry James,1881,American,English,400-600,188000,75,2299,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Victorian","Betrayal, Family, Freedom, Inheritance and succession, Interpersonal relations, Love, Manipulation, Marriage, Society, Wealth, realism, relationships","England, Europe, Independence, Italy"
76,33,The Golden Notebook,Doris May Lessing,1962,British,English,576-640,200000,76,2275,"Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Social & Cultural Fiction","Communism, Diaries, Feminism, Mental Health, Politics, Sexuality, Women's Studies, colonialism, relationships, writing","England, London"
77,467,Essays,Michel de Montaigne,1580,French,French,800-1500,1070000,77,2274,"Cultural, Diaries & Journals, Nonfiction, philosophical","Classical Studies, Death & Grief, Education, European History, Friendship, History, Philosophy, Self-reflection, Skepticism, Society, human nature, morality","Aquitaine, Bordeaux, France"
78,953,Dracula,Bram Stoker,1897,British,English,398,160000,78,2262,"Fiction, Gothic, Horror, Mystery, Speculative Fiction, Supernatural, Victorian","Friendship, Good vs Evil, Immortality, Madness, Seduction, Superstition, Vampirism, fear, isolation","England, Transylvania"
79,484,Oedipus the King,Sophocles,-429,Greek,Ancient greek,128,26000,79,2253,"Drama, Fiction, Mythological, Tragedy, philosophical","Blindness, Classical Studies, Family, Fate, Guilt, Humanities, Justice, Pride, Prophecy, Suffering, Truth","Greece, Thebes"
80,442,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian,600-800,208000,80,2251,"Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy, philosophical","Death, Illness, Innocence, Jealousy, Love, Madness, Poverty, Redemption, Society, Wealth","Germany, Russia, Saint Petersburg"
81,455,The Castle,Franz Kafka,1926,Czech,German,200-300,98000,81,2248,"Allegorical, Dark, Existentialist, Fiction, Literary Fiction, Picaresque, Postmodern","Alienation, Authority, Bureaucracy, Control, Existentialism, Frustration, Power, Struggle, isolation",Fictional Location
82,1170,The Metamorphosis,Franz Kafka,1915,Czech,German,40-100,22000,82,2238,"Allegorical, Dark, Existentialist, Fiction, Literary Fiction, Postmodern, Surreal","Alienation, Guilt, Responsibility, Transformation, Work, isolation",Fictional Location
83,465,Buddenbrooks,Thomas Mann,1901,German,German,700-1000,178462,83,2211,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Business, Civilization, Death, Decline, Family, Family dynamics, Illness, Inheritance, Marriage, Social Class, Wealth, tradition","Germany, Lübeck"
84,220,The Picture of Dorian Gray,Oscar Wilde,1890,British,English,208,78000,84,2203,"Allegorical, Fiction, Gothic, Literary Fiction, Psychological, philosophical","Beauty, Consequences, Identity, Influence, Youth, corruption, morality, vanity","England, Europe, London"
85,157,In Cold Blood,Truman Capote,1966,American,English,300-400,94000,85,2189,"Crime, Drama, Nonfiction, Psychological, True crime","Case studies, Death, Family, History, Investigation, Journalism, Justice, Law, Murder, Psychology, Punishment, Reportage, Violence","Holcomb, Kansas, United States"
86,1351,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German,200-300,61000,86,2187,"Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, military fiction","Comradeship, Death, Disillusionment, Friendship, Injury, Juvenile, Reportage, Soldiers, Survival, Trauma, War, World War I, Youth","France, Germany"
87,146,The Age of Innocence,Edith Wharton,1920,American,English,300-400,101572,87,2175,"Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Conformity, Duty, Family, Individualism, Love, Marriage, Society, class, tradition","New England, New York, United States"
88,203,The Count of Monte Cristo,Alexandre Dumas,1844,French,French,1200-1400,461111,88,2173,"Adventure, Crime, Fiction, Historical fiction, Literary Fiction, Mystery, Psychological","Betrayal, Deception, Forgiveness, Imprisonment, Justice, Love, Power, Redemption, Revenge, Wealth","Château d'If, France, Marseille, Paris, United States"
89,125,A Portrait of the Artist as a Young Man,James Joyce,1916,Irish,English,200-300,86332,89,2140,"Allegorical, Coming of age, Fiction, Literary Fiction, Modernist, philosophical","Creativity, Education, Family, Freedom, Guilt, Humanities, Sexuality, rebellion","Dublin, Ireland"
90,448,Faust,Johann Wolfgang von Goethe,1808,German,German,327,90000,90,2132,"Fiction, Good and evil, Gothic, Literary Fiction, Magical Realism, Tragedy, philosophical","Ambition, Despair, Good vs Evil, Knowledge, Love, Redemption, Temptation, human nature, morality",Germany
91,96,Under the Volcano,Malcolm Lowry,1947,British,English,300-400,144000,91,2130,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Tragedy","Death, Despair, Existentialism, Guilt, Love, Politics, Redemption, alcoholism, relationships","Cuernavaca, Mexico"
92,133,As I Lay Dying,William Faulkner,1930,American,English,200-300,56000,92,2115,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Tragedy","Death, Death & Grief, Duty, Family, Family dynamics, Grief, Madness, Poverty, Southern Gothic, Suffering, isolation, stream of consciousness","Mississippi, United States, Yoknapatawpha County"
93,207,The Scarlet Letter,Nathaniel Hawthorne,1850,American,English,200-300,63500,93,2097,"Allegorical, Fiction, Gothic, Historical fiction, Literary Fiction","Forgiveness, Guilt, Hypocrisy, Identity, Judgment, Punishment, Redemption, Sin, isolation","Boston, Massachusetts, New England, United States"
94,198,Emma,Jane Austen,1815,British,English,300-500,155887,94,2087,"Fiction, Literary Fiction, Regency, Romance, Social & Cultural Fiction, Victorian","Courtship, Deception, Family, Friendship, Jealousy, Love, Marriage, Self-discovery, Social Class, Women's Studies, manners","England, Highbury"
95,691,Silent Spring,Rachel Carson,1962,American,English,200-300,61000,95,2086,"Nonfiction, Political, Technical, Travel, philosophical","Agriculture, American History, Biodiversity, Conservation, Environmentalism, History, History Of Science, Nature, Nature & Environment, Pesticides, Pollution, Public Health, Science",United States
96,69,Pale Fire,Vladimir Nabokov,1962,American,English,200-300,95000,96,2049,"Experimental, Fiction, Literary Fiction, Mythological, Postmodern, metafiction","Criticism, Death, Friendship, Immigrants, Madness, Murder, Nobility, Obsession, Paranoia, Parody",Fictional Location
97,124,Charlotte's Web,E. B. White,1952,American,English,192,32000,97,2049,"Children's books, Family & Relationships, Fiction, Middle Grade, Realistic Fiction","Animals, Family, Farm life, Friendship, Juvenile, Life and Death, Loyalty, Miracles, Sacrifice, childhood",Fictional Location
98,443,Demons,Fyodor Dostoevsky,1872,Russian,Russian,500-800,332000,98,2014,"Fiction, Gothic, Literary Fiction, Political, Psychological, philosophical","Family, Friendship, Ideology, Madness, Nihilism, Power, Revolution, corruption, morality",Russia
99,192,Robinson Crusoe,Daniel Defoe,1719,British,English,200-300,121961,99,2008,"Adventure, Fiction, Historical fiction, Literary Fiction, Sailors & The Sea","Civilization, Faith, Human Resilience, Self-reliance, Survival, colonialism, isolation","Desert Island, England"
100,1377,The Bell Jar,Sylvia Plath,1963,American,English,200-300,84000,100,1994,"Coming of age, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Ambition, Conformity, Identity, Psychology & Mental Health, Society, Women's Studies, depression, isolation","Massachusetts, New York, New York City, United States"
